,user_name,tweet_text,user_followers,user_location,user_verified,like_count,rt_count,timestamp,positive_score,negative_score,neutral_score,compound_score
0,Nigel Farage,Javid admits we won’t be leaving by October 31st. The Conservatives can’t deliver Brexit on their own. https://t.co/3AxjVpiulP,1442222.0,,True,5019.0,1676.0,2019-10-25 08:30:10,0.115,0.0,0.885,0.296
1,Anthony Ferguson," The best way out is with a leave parliament all BP MEPs need to mean what they say

Let's back Boris bash remain then you can bash Boris in parliament

Where a heavy leave number of MPs will make sure of the best brexit

Drain the swamp

Fight 4 leave together in hoc, only way",107.0,,False,0.0,0.0,2019-10-26 10:46:08,0.193,0.1,0.707,0.8316
2,Anthony Ferguson," Nigel please call the MEP dogs off Boris

They seem intent splitting leave voters with bs

Corbyn &amp; grieve already want Dec 2020 no deal off the cards

We all know it's there but it needs a strong leave hoc

That means BP taking labour seats

&amp;Reset parliament with leave majority",107.0,,False,0.0,0.0,2019-10-26 10:43:12,0.129,0.126,0.745,0.4854
3,Marcus M, So...General Election it is then? With the Tories and Brexit Party delivering together?,48.0,"Huntingdon, England",False,0.0,0.0,2019-10-26 10:23:41,0.203,0.0,0.797,0.4696
4,Deb," Another election will not change the situation and we will end up with a hung parliament, unless TBP and Mr Johnson's team get together. I am all for leaving WTO.",2.0,,False,0.0,0.0,2019-10-26 10:22:56,0.0,0.0,1.0,0.0
5,Jim The Janner," Still trying to join the Tories to get a job on the gravy train? Join you, join you not, join you,  join you not.",72.0,"South West, England",False,0.0,0.0,2019-10-26 10:15:23,0.379,0.0,0.621,0.8402
6,Ian Brogden, Nigel play your cards right and you could be prime minister by Xmas congratulations boris is now shooting himself in foot liberal are for dictatorship as your vote does not matter they do as liberal MPs want labour have corbyn say no more well done Nigel you have my vote,9.0,,False,0.0,0.0,2019-10-26 10:06:56,0.174,0.057,0.768,0.773
7,Dr_GSV_Sleeper_Service #FBPE 🇨🇮🇪🇺🇬🇧🔸," When the war comes it’s not us remianers who will kill your troops, it’s old age.",953.0,United Kingdom,False,0.0,0.0,2019-10-26 09:43:18,0.0,0.381,0.619,-0.8625
8,NetNeutrality," No one can deliver Brexit. Not for everyone. Unless 96% of leavers agree on how they want it to happen, which they clearly don't. 

It's impossible for something to be two things at once.",36.0,,False,0.0,0.0,2019-10-26 09:26:51,0.168,0.057,0.775,0.5106
9,gareth marchant, @LeaveEUOfficial caused by bloody turncoat MPs. Fire the lot znd replace with peopl who do what their constituents want,108.0,Kent United Kingdom,False,0.0,0.0,2019-10-26 09:25:24,0.058,0.235,0.708,-0.6124
10,Progrokcer, Join up with Boris Nigel!! Get the job done once and for all!!!,969.0,"Rayleigh,U.K.",False,0.0,0.0,2019-10-26 09:03:50,0.219,0.0,0.781,0.5216
11,Francis Maina, https://t.co/2DbkmLbS5A,137.0,,False,0.0,0.0,2019-10-26 08:52:36,0.0,0.0,1.0,0.0
12,Jordan, Simpletons unite!!!!,169.0,London,False,0.0,0.0,2019-10-26 08:51:34,0.0,0.0,1.0,0.0
13,Peter Beardwood, The ditch has room for a little one. A very little on. You.,4.0,,False,0.0,0.0,2019-10-26 08:48:54,0.0,0.0,1.0,0.0
14,charlie_ff@outlook.com, Maybe you should help them...,9.0,"Farnborough, South East",False,0.0,0.0,2019-10-26 08:48:09,0.403,0.0,0.597,0.4019
15,Napmug, https://t.co/M7lho1IorA,88.0,,False,0.0,0.0,2019-10-26 08:31:41,0.0,0.0,1.0,0.0
16,Gower, The true face of the Left DELUSIONAL BULLY who tried to INTIMIDATE Senior Citizens at Swansea City Centre while giving out leaflets for Brexit Party... https://t.co/mf1qxJtqh8,2.0,,False,0.0,0.0,2019-10-26 08:31:33,0.154,0.192,0.653,-0.3107
17,Napmug, https://t.co/HLXrqmdY4A,88.0,,False,0.0,0.0,2019-10-26 08:31:32,0.0,0.0,1.0,0.0
18,Napmug, https://t.co/xiwPrZ0GTy,88.0,,False,0.0,0.0,2019-10-26 08:31:20,0.0,0.0,1.0,0.0
19,Jan T., Hhahha keep on begging,44.0,United Kingdom,False,0.0,0.0,2019-10-26 08:30:31,0.0,0.0,1.0,0.0
20,Anglosaxon, We’ve had enough of this farce! TIME THE PEOPLE RISE UP AND STORM PARLIAMENT. And regained control.,25.0,,False,0.0,0.0,2019-10-26 08:22:05,0.0,0.176,0.824,-0.5294
21,Anglosaxon, The people will rise up and storm Parliament 31st OCTOBER - BE THERE!,25.0,,False,0.0,0.0,2019-10-26 08:20:59,0.0,0.0,1.0,0.0
22,Cora, #getbrexitgone #getbrexitgone #getbrexitgone #getbrexitgone,70.0,,False,0.0,0.0,2019-10-26 08:18:55,0.0,0.0,1.0,0.0
23,gb," @RednorthUK Why do you value personal wealth above the health and prosperity of the country and the common man and woman, mate?",97.0,,False,0.0,0.0,2019-10-26 08:18:37,0.219,0.0,0.781,0.6808
24,Steve Grubb," It’s no longer the will of the people, the lies have all been exposed. No need to deliver Brexit at all now.",39.0,"Hampshire, by the sea",False,0.0,0.0,2019-10-26 08:17:20,0.0,0.321,0.679,-0.7579
25,Stephen John Warner, Farage has selflessly said only vote Brexit party if your in a seat the Conservatives never win. What a breath of fresh air in British politics,1.0,,False,0.0,0.0,2019-10-26 07:54:46,0.172,0.106,0.722,0.233
26,Caro, Recruit Kate Hoey . You Kate and Ann  . Magic triangle.,5.0,,False,0.0,0.0,2019-10-26 07:49:29,0.0,0.0,1.0,0.0
27,ROSETTA TICKNER," Absolutely true. Question is, will they continue to be too arrogant &amp; intransigent to work with the Brexit Party?  If they don't get off their high horses they risk a Corbyn government by default. Millions of voters would never forgive them for that disaster.",892.0,,False,2.0,0.0,2019-10-26 07:47:08,0.107,0.208,0.685,-0.662
28,Michael Lalor, We need a general election and there must be a deal between conservative and brexit party but for the brexit party to agree when they win must be a complete break with a no deal brexit and not Boris Johnson's deal because it's not really a clean break.,3.0,,False,0.0,0.0,2019-10-26 07:44:12,0.244,0.106,0.651,0.8333
29,MarkoBricksUK," We need a general election, Brexit Party will win some seats, probably at expense of Labour, once you have a foot in the door of the house, you can vote and influence accordingly, if you win enough seats you might even be able to push harder for a clean break.",166.0,Chelmsford,False,0.0,0.0,2019-10-26 07:39:37,0.232,0.0,0.768,0.9186
30,Pandemic, What does he know. His girlfriend might be a Christian but where is his faith?,0.0,,False,0.0,0.0,2019-10-26 07:21:50,0.222,0.0,0.778,0.5719
31,Nickyt, Why are politicians who have financial gains from being in the EU allowed a vote on brexit. Conflicts of interest and bias rings a bell. All MEPS and people who's partners and loved ones recieving money from EU should be made to stand aside when it comes to voting in parliment,1.0,,False,0.0,0.0,2019-10-26 07:21:20,0.162,0.07,0.768,0.743
32,Father Ted #FBPE #RevokeA50, https://t.co/CPvTZIRMcy,2098.0,Ireland,False,1.0,0.0,2019-10-26 07:16:18,0.0,0.0,1.0,0.0
33,Mike F, Just remind us how many times the British public saw you off at the polls? https://t.co/DxHVmI5wMq,40.0,"Cardiff, South Wales.",False,0.0,0.0,2019-10-26 06:58:17,0.0,0.0,1.0,0.0
34,Paul Sharratt, If you can deliver the votes of all the Brexit Party MPs .... it will make no f**king difference🤣🤣🤣🤣,39.0,Sayán,False,0.0,0.0,2019-10-26 06:10:16,0.123,0.1,0.776,0.128
35,ChrisClose51, You are a one trick pony rich with a German passport German Wife and Children with a non existent party funded by hedge funds @brexitparty_uk  and a Traitor,4108.0,Blanchland,False,0.0,0.0,2019-10-26 05:22:54,0.221,0.042,0.737,0.7269
36,Davysteve, Are you not just raging #Nastynigel ? The toys will be flying out your pram 🤣. Never mind,1.0,"Dubai, United Arab Emirates",False,0.0,0.0,2019-10-26 05:15:51,0.148,0.0,0.852,0.4168
37,Chockl8, ..and it's all because of you  and all the other woeful MPs. Shame on you! BORIS is the only one fighting for the #willofthepeople and we will stand with him against the #nutheadparliament.,19.0,"Bolton,UK",False,0.0,0.0,2019-10-26 03:59:15,0.0,0.227,0.773,-0.8313
38,stuart," @FranceintheUK needs to tell his boss No Extension is right decision along with all #EU27 @PolishEmbassyUK @GermanEmbassy UK must #LeaveOct31 with #NoDealBrexit on 31Oct &amp; force @eucopresident to make the right decision for EU, UK citizens",188.0,,False,0.0,0.0,2019-10-26 03:52:55,0.0,0.059,0.941,-0.296
39,Peleg Yagen," edexit + cuexit + smexit + ecjexit = real brexit  [european defense union = arm of the would be eu empire would-be arm of 1-world dictatorship; customs u; single m] 
@Jacob_Rees_Mogg",29.0,,False,0.0,0.0,2019-10-26 03:42:17,0.057,0.0,0.943,0.128
40,Rosina 🇬🇧 #BritishIndependence MAN UP CORBYN, It's not the 31st yet!,5652.0,,False,0.0,0.0,2019-10-26 02:09:43,0.0,0.0,1.0,0.0
41,John Giroux, Goodbye to democracy! The voice of the people is is null and void...,65.0,"Lenexa, KS",False,0.0,0.0,2019-10-26 01:22:16,0.0,0.0,1.0,0.0
42,Maureen Miller," @Denman21604461 Tbh Nigel I don't think your anti Tory campaign is actually helping matters or the people you say you want to help, in my opinion it's coming across as childish, this isn't a playground mate, team up be stronger run Britain together, might just work 😉🙏🏻💙",1126.0,Scotland UK,False,1.0,0.0,2019-10-26 01:11:53,0.228,0.042,0.73,0.7692
43,Albert, Feel for the UK people that is constantly betrayed by politicians.,329.0,"Sydney, Australia",False,0.0,0.0,2019-10-26 00:57:26,0.0,0.286,0.714,-0.6124
44,Alex S🔸🇬🇧🚵‍♂️, @judebrexitqueen Farage is a secret remainer.,765.0,UK,False,1.0,1.0,2019-10-26 00:47:51,0.0,0.0,1.0,0.0
